codigo_material_recibido,cantidad_actual
EAX66726315-2601060046,100
EAX66726315-2601060044,100
EAX66726315-2601060043,100
EAX66726315-2601060042,100
EAX66726315-2601060041,100
EAX66726315-2512210080,100
EAX66726315-2512210079,100
EAX66726315-2512210078,100
EAX66726315-2512210077,100
EAX66726315-2512210076,100
EAX66726315-2512210075,100
EAX66726315-2512210073,100
EAX66726315-2512210072,100
EAX66726315-2512210071,100
EAX66726315-2512210070,100
EAX66726315-2512210069,100
EAX66726315-2512210068,100
EAX66726315-2512210067,100
EAX66726315-2512210066,100
EAX66726315-2512210065,100
EAX66726315-2512210064,100
EAX66726315-2512210063,100
EAX66726315-2512210062,100
EAX66726315-2512210061,100
EAX66726315-2512210060,100
EAX66726315-2512210059,100
EAX66726315-2512210058,100
EAX66726315-2512210057,100
EAX66726315-2512210056,100
EAX66726315-2512210055,100
EAX66726315-2512210054,100
EAX66726315-2512210053,100
EAX66726315-2512210052,100
EAX66726315-2512210051,100
EAX66726315-2512210050,100
EAX66726315-2512210049,100
EAX66726315-2512210047,100
EAX66726315-2512210046,100
EAX66726315-2512210045,100
EAX66726315-2512210044,100
EAX66726315-2512210042,100
EAX66726315-2512210041,100
EAX66726315-2512210040,100
EAX66726315-2512210038,100
EAX66726315-2512210037,100
EAX66726315-2512210036,100
EAX66726315-2512210032,100
EAX66726315-2512210030,100
EAX66726315-2512210028,100
EAX66726315-2512210023,100
EAX66726315-2512210018,100
EAX66726315-2512210017,100
EAX66726315-2512210013,100
EAX66726315-2512210012,100
EAX66726315-2512210010,100
EAX66726315-2512210008,100
EAX66726315-2512210007,100
EAX66726315-2512210003,100
EAX66726315-2512160075,100
EAX66726315-2512160058,100
EAX66726315-2512160057,100
EAX67860914-2601060006,100
EAX67860914-2601060005,100
EAX67860914-2601060004,100
EAX67860914-2601060003,100
EAX67860914-2601060002,100
EAX67860914-2601060001,100
EAX67860914-2505290004,100
EAX67860914-2508250004,100
EAX67860914-2508250008,100
EAX67860914-2508250002,100
EAX67860914-2507290007,100
EAX67860914-2509260020,25
EAX67860914-2512130024,100
EAX67860914-2512130023,100
EAX67860914-2512130022,100
EAX67860914-2512130021,100
EAX67860914-2512130020,100
EAX67860914-2512130019,100
EAX67860914-2512130018,100
EAX67860914-2512130017,100
EAX67860914-2512130016,100
